Months,order_count,revenue
September 2016,1,134.97
October 2016,265,40325.11
November 2016,0,0.0
December 2016,1,10.9
January 2017,750,111798.36
February 2017,1653,234223.4
March 2017,2546,359198.85
April 2017,2303,340669.68
May 2017,3546,489338.25
June 2017,3135,421923.37
July 2017,3872,481604.52
August 2017,4193,554699.7
September 2017,4150,607399.67
October 2017,4478,648247.65
November 2017,7289,987765.37
December 2017,5513,726033.1900000001
January 2018,7069,924645.0
February 2018,6555,826437.13
March 2018,7003,953356.25
April 2018,6798,973534.09
May 2018,6749,977544.6900000001
June 2018,6099,856077.86
July 2018,6159,867953.46
August 2018,6351,838576.64
